name,attributes_cyl_path,agency_maint,inc_crc,fmel_upd_d,length_m,longitude,latitude
kml_152,Jurong Lake District - Taman Jurong,Land Transport Authority,B190480A218D9350,2022-02-16 13:57:18,13.347619717736462,103.73590652512372,1.3422114394485007
kml_153,Jurong Lake District - Taman Jurong,Land Transport Authority,AB503446D45D6137,2022-02-16 13:57:18,17.170895715208875,103.7357159612865,1.341886338830715
kml_154,Jurong Lake District - Taman Jurong,Land Transport Authority,518BE80DA654BA3B,2022-02-16 13:57:18,97.60142416263795,103.73544264178705,1.3414583229049808
kml_155,Jurong Lake District - Taman Jurong,Land Transport Authority,5CBE0F3BA8E87518,2022-02-16 13:57:18,16.76599638442,103.73275341240999,1.34245614406364
kml_156,Jurong Lake District - Taman Jurong,Land Transport Authority,A1B07C6C88657E2D,2022-02-16 13:57:18,80.58627558928328,103.73310560105718,1.3421961400059619
kml_157,Clementi,Land Transport Authority,684A343ACF5F04DA,2022-02-16 13:57:18,121.48170090221812,103.76661649812864,1.3198765671541322
kml_158,Clementi,Land Transport Authority,684A343ACF5F04DA,2022-02-16 13:57:18,121.48170090221812,103.76661649812864,1.3198765671541322
kml_159,Clementi,Land Transport Authority,2F5BE0526F0ED98A,2022-02-16 13:57:18,26.265022819376224,103.767137362363,1.320415364616795
kml_160,Clementi,Land Transport Authority,2F5BE0526F0ED98A,2022-02-16 13:57:18,26.265022819376224,103.767137362363,1.320415364616795
kml_161,Bedok,Land Transport Authority,96721BAA9C4987D1,2022-02-16 13:57:18,120.31830153362894,103.92863808805916,1.3337160199918907
kml_162,Bedok,Land Transport Authority,197B2AB2EB29134D,2022-02-16 13:57:18,47.21847890523331,103.92937406035472,1.3338736143731709
kml_163,Bedok,Land Transport Authority,DED7CE2CF71707C5,2022-02-16 13:57:18,43.22674917211737,103.92977222744649,1.3339551008213248
kml_164,Bedok,Land Transport Authority,7DAB7E5D892DF3E3,2022-02-16 13:57:18,55.15605079861999,103.93110195878,1.334212437476405
kml_165,Sembawang,Town Council,5483CEBAE896C807,2022-02-16 13:57:18,97.7666376847703,103.81857085468003,1.4484498818776388
kml_166,Sembawang,Town Council (Others),04BA37671B1773E0,2022-02-16 13:57:18,76.39843937252483,103.818880040621,1.4477281853723452
kml_167,Woodlands,Town Council (Others),65A52FAA668A74E8,2022-02-16 13:57:18,15.352140344322065,103.802194475196,1.4351674123297
kml_168,Woodlands,Town Council,1D511AA8AE941216,2022-02-16 13:57:18,183.91590617693188,103.80165297943132,1.4343318055793388
kml_169,Woodlands,Town Council,6C7882896E97408B,2022-02-16 13:57:18,21.32660833480403,103.80140694861336,1.4334571876999223
kml_170,Bedok,Land Transport Authority,573921B85D1D81D1,2022-02-16 13:57:18,27.70109002729691,103.9393375933139,1.3333534708212362
kml_171,Bedok,Land Transport Authority,BB9706C910468EE4,2022-02-16 13:57:18,37.29285230965925,103.9385740611711,1.3317625477393398
kml_172,Bedok,Land Transport Authority,6D482E822716BC7F,2022-02-16 13:57:18,68.95321792953892,103.93895988200711,1.3314835212454805
kml_173,Pasir Ris,LTA (Others),C209EE05382B66BB,2022-02-16 13:57:18,1.4663763295122545,103.9608145351135,1.373613007843615
